时间,合约代码,合约名称,买/卖,开/平,成交量,成交价,费用
2017-05-05 15:00:00, 601318.XSHG, 中国平安, 买, 开, 100, 37.26, 5.0
2017-05-10 15:00:00, 601857.XSHG, 中国石油, 卖, 平, 800, 7.44, 7.976
2017-05-11 15:00:00, 002027.XSHE, 分众传媒, 买, 开, 600, 12.72, 6.1056
2017-05-12 15:00:00, 601818.XSHG, 光大银行, 卖, 平, 1300, 3.97, 7.5805
2017-05-12 15:00:00, 601336.XSHG, 新华保险, 买, 开, 100, 50.03, 5.0
2017-05-25 15:00:00, 600016.XSHG, 民生银行, 卖, 平, 1100, 8.11, 11.5973
2017-05-25 15:00:00, 601398.XSHG, 工商银行, 买, 开, 600, 5.16, 5.0
2017-05-26 15:00:00, 601398.XSHG, 工商银行, 卖, 平, 500, 5.23, 6.3075
2017-05-31 15:00:00, 601857.XSHG, 中国石油, 买, 开, 1200, 7.82, 7.5072
2017-06-06 15:00:00, 601988.XSHG, 中国银行, 卖, 平, 1700, 3.64, 8.094
2017-06-06 15:00:00, 601398.XSHG, 工商银行, 卖, 平, 100, 5.14, 5.257
2017-06-08 15:00:00, 601328.XSHG, 交通银行, 买, 开, 1100, 6.11, 5.3768
2017-06-13 15:00:00, 601328.XSHG, 交通银行, 卖, 平, 1100, 6.07, 8.6801
2017-06-15 15:00:00, 600900.XSHG, 长江电力, 卖, 平, 400, 14.4, 7.88
2017-06-15 15:00:00, 601628.XSHG, 中国人寿, 卖, 平, 200, 27.14, 7.714
2017-06-15 15:00:00, 601336.XSHG, 新华保险, 卖, 平, 100, 49.37, 7.4685
2017-06-15 15:00:00, 601398.XSHG, 工商银行, 卖, 平, 100, 5.05, 5.2525
2017-06-15 15:00:00, 601288.XSHG, 农业银行, 买, 开, 1600, 3.44, 5.0
2017-06-15 15:00:00, 601988.XSHG, 中国银行, 买, 开, 1500, 3.61, 5.0
2017-06-16 15:00:00, 601288.XSHG, 农业银行, 买, 开, 200, 3.45, 5.0
2017-06-19 15:00:00, 002027.XSHE, 分众传媒, 卖, 平, 600, 13.06, 10.1868
2017-06-19 15:00:00, 601398.XSHG, 工商银行, 买, 开, 100, 5.0, 5.0
2017-06-19 15:00:00, 000858.XSHE, 五粮液, 买, 开, 100, 52.57, 5.0
2017-06-20 15:00:00, 601628.XSHG, 中国人寿, 买, 开, 200, 26.54, 5.0
2017-06-20 15:00:00, 600104.XSHG, 上汽集团, 买, 开, 200, 29.05, 5.0
2017-06-22 15:00:00, 601857.XSHG, 中国石油, 卖, 平, 1200, 7.69, 11.9964
2017-06-22 15:00:00, 600019.XSHG, 宝钢股份, 买, 开, 1800, 6.51, 9.3744
2017-06-23 15:00:00, 601288.XSHG, 农业银行, 卖, 平, 1800, 3.51, 8.2134
2017-06-23 15:00:00, 600019.XSHG, 宝钢股份, 卖, 平, 700, 6.46, 7.261
2017-06-26 15:00:00, 601988.XSHG, 中国银行, 卖, 平, 1500, 3.66, 7.745
2017-06-26 15:00:00, 601628.XSHG, 中国人寿, 买, 开, 100, 27.37, 5.0
2017-06-26 15:00:00, 601766.XSHG, 中国中车, 买, 开, 800, 10.06, 6.4384
2017-06-27 15:00:00, 601398.XSHG, 工商银行, 卖, 平, 100, 5.09, 5.2545
2017-06-29 15:00:00, 601766.XSHG, 中国中车, 卖, 平, 800, 10.05, 10.452
2017-06-29 15:00:00, 601857.XSHG, 中国石油, 买, 开, 900, 7.69, 5.5368
2017-06-30 15:00:00, 601939.XSHG, 建设银行, 买, 开, 400, 6.15, 5.0
2017-07-03 15:00:00, 601939.XSHG, 建设银行, 卖, 平, 300, 6.14, 5.921
