股票代码,股票名称,日期,K,D,J
600155,华创云信,2026-03-04,34.87,49.7,5.22
600156,华升股份,2026-03-04,19.82,17.28,24.91
600157,永泰能源,2026-03-04,61.78,62.57,60.19
600158,中体产业,2026-03-04,53.18,61.53,36.46
600159,大龙地产,2026-03-04,26.19,40.29,-2.01
600160,巨化股份,2026-03-04,65.2,73.41,48.78
600161,天坛生物,2026-03-04,21.62,27.97,8.91
600162,香江控股,2026-03-04,19.91,34.35,-8.97
600163,中闽能源,2026-03-04,55.74,65.91,35.38
600166,福田汽车,2026-03-04,24.56,43.73,-13.76
600167,联美控股,2026-03-04,47.64,54.26,34.39
600168,武汉控股,2026-03-04,54.43,61.61,40.06
600170,上海建工,2026-03-04,26.47,38.76,1.89
600171,上海贝岭,2026-03-04,22.44,34.19,-1.06
600172,黄河旋风,2026-03-04,70.26,76.97,56.86
600173,卧龙新能,2026-03-04,16.63,23.56,2.79
600176,中国巨石,2026-03-04,58.35,74.84,25.38
600177,雅戈尔,2026-03-04,13.36,23.03,-5.98
600178,东安动力,2026-03-04,22.09,35.75,-5.22
600179,安通控股,2026-03-04,44.97,42.96,49.0
600180,瑞茂通,2026-03-04,36.6,52.12,5.58
600182,S佳通,2026-03-04,25.97,37.15,3.61
600183,生益科技,2026-03-04,38.63,49.92,16.05
600184,光电股份,2026-03-04,65.01,71.56,51.89
600185,珠免集团,2026-03-04,8.63,17.61,-9.33
600186,莲花控股,2026-03-04,25.46,43.61,-10.82
600187,国中水务,2026-03-04,18.55,27.08,1.5
600188,兖矿能源,2026-03-04,83.87,85.92,79.78
600189,泉阳泉,2026-03-04,29.47,37.6,13.21
600191,华资实业,2026-03-04,58.07,60.63,52.96
600192,长城电工,2026-03-04,47.03,53.34,34.42
600195,中牧股份,2026-03-04,56.55,54.62,60.41
600196,复星医药,2026-03-04,9.48,17.35,-6.26
600197,伊力特,2026-03-04,9.18,11.36,4.83
600198,大唐电信,2026-03-04,34.73,50.37,3.45
600199,金种子酒,2026-03-04,6.47,8.38,2.65
600201,生物股份,2026-03-04,23.93,34.09,3.62
600202,哈空调,2026-03-04,33.04,48.91,1.29
600203,福日电子,2026-03-04,29.5,51.22,-13.94
600206,有研新材,2026-03-04,64.35,73.8,45.44
600207,安彩高科,2026-03-04,54.12,61.72,38.91
600208,衢州发展,2026-03-04,17.58,27.58,-2.42
600210,紫江企业,2026-03-04,29.29,44.91,-1.94
600211,西藏药业,2026-03-04,23.98,32.93,6.1
600212,绿能慧充,2026-03-04,22.01,27.87,10.3
600215,派斯林,2026-03-04,18.56,29.91,-4.12
600216,浙江医药,2026-03-04,65.64,73.95,49.03
600217,中再资环,2026-03-04,37.52,48.56,15.44
600218,全柴动力,2026-03-04,39.59,51.69,15.39
600219,南山铝业,2026-03-04,79.68,73.63,91.79
